Year,Month,Day,Time(hhmmss.mm)UTC,Latitude,Longitude,Magnitude,Depth,Catalog
  1980,01,01,144619.20,  6.839, -73.066,4.7,163,PDE  
  1980,01,02,004156.70, -5.435, 146.826,4.8,134,PDE  
  1980,01,02,093130.50,-17.862,-178.411,4.9,563,PDE  
  1980,01,03,195807.80, 28.485, 128.381,5.4,134,PDE  
  1980,01,03,202228.10,  5.688, 126.023,5.8,114,PDE  
  1980,01,04,043902.90,-17.798,-178.726,5.3,568,PDE  
  1980,01,04,185635.70, -6.052, 128.274,5.0,353,PDE  
  1980,01,05,063131.90, 16.647, 120.796,4.2,111,PDE  
  1980,01,05,141210.20,-23.975, -66.463,4.5,172,PDE  
  1980,01,06,050841.10,-19.071, 169.135,5.2,231,PDE  
  1980,01,06,092813.90, -7.358, 128.479,5.4,177,PDE  
  1980,01,06,191426.10,  6.799, -72.998,4.9,161,PDE  
  1980,01,06,221047   ,-23.802,-179.823,5.1,474,PDE  
  1980,01,07,200657.30, 51.324, 156.671,5.6,112,PDE  
  1980,01,07,223557.20, -7.183, 123.092,4.5,616,PDE  
  1980,01,08,100845.90,  5.672, 126.038,5.7,112,PDE  
  1980,01,08,103148.20,  1.886,  99.399,4.5,167,PDE  
  1980,01,08,163846.50, 36.426,  71.132,4.6,211,PDE  
  1980,01,08,192032.30,-20.920, -69.192,4.8,105,PDE  
  1980,01,09,002649.30, 16.049, 121.435,4.3,101,PDE  
  1980,01,09,030757.90,-14.690, 167.224,5.5,165,PDE  
  1980,01,09,115330.50, 52.511, 152.261,4.7,546,PDE  
  1980,01,09,190556.40,-16.569,-174.714,4.3,158,PDE  
  1980,01,10,123615   ,  5.728, 126.287,4.5,134,PDE  
  1980,01,10,145353.60, -0.045, 124.435,4.7,102,PDE  
  1980,01,11,145547.60, 31.446, 130.660,4.4,185,PDE  
  1980,01,12,191739.60, 42.697, 142.754,4.6,139,PDE  
  1980,01,13,002907.10, -0.632, -78.903,4.7,131,PDE  
  1980,01,14,004314   ,-56.631, -27.081,5.6,125,PDE  
  1980,01,14,111240.70,-20.690,-178.611,4.6,526,PDE  
  1980,01,14,150754   , 45.791,  26.620,4.7,143,PDE  
  1980,01,14,221742.30, 36.935, 135.271,4.1,368,PDE  
  1980,01,15,015642.70,  2.457, 128.856,4.7,209,PDE  
  1980,01,15,042545.60,-22.209,-179.499,5.5,605,PDE  
  1980,01,15,052326.10, 14.047, 145.193,5.2,120,PDE  
  1980,01,15,121848.50, 21.653, 142.916,4.9,322,PDE  
  1980,01,16,024539.50, 13.690, 120.795,4.4,133,PDE  
  1980,01,16,160723.90,  2.654, 128.543,5.1,240,PDE  
  1980,01,17,092156.60, 28.305, 138.832,5.3,541,PDE  
  1980,01,18,190641   ,  3.607, 128.113,5.2,110,PDE  
  1980,01,18,192150.90, 27.322, 139.982,4.3,457,PDE  
  1980,01,18,221015.90, 37.721, 133.414,5.5,442,PDE  
  1980,01,19,165115.10, 16.814, -95.983,4.3,112,PDE  
  1980,01,20,072843.90,  2.714, 128.526,5.8,211,PDE  
  1980,01,20,122017.70, -7.063, 129.356,5.5,110,PDE  
  1980,01,21,210634.50, 41.904, 141.000,5.0,131,PDE  
  1980,01,21,224543.60,-23.410,-179.596,4.4,422,PDE  
  1980,01,22,010805.50, -4.444, -77.863,4.4,121,PDE  
  1980,01,22,043307.80,-16.002,-174.150,5.3,155,PDE  
  1980,01,22,062612.70, 45.650,  26.574,4.2,159,PDE  
  1980,01,22,112909.10, -5.627, 147.222,4.5,189,PDE  
  1980,01,22,174314.70, -6.985, 107.009,4.4,107,PDE  
  1980,01,23,222636.30, 10.494, -62.762,4.5,161,PDE  
  1980,01,25,021610.80, 30.683, 137.777,4.8,462,PDE  
  1980,01,25,024705.20, 13.567, -90.125,4.7,150,PDE  
